# times are average RPC time (in seconds), base on 100,000 requests
# payloadsize  upload/download  noenclave     noenclave     noenclave      noenclave    cli-enclave     cli-enclave         cli-enclave         cli-enclave
#                                                                                       srv-noenclave   srv-nonenclave      srv-enclave         srv-enclave
#                               notls         notls         tls            tls          tls             tls                 tls                 tls
#                               unix          tcp           unix           tcp          tcp             tcp                 tcp                 tcp
#                                                                                       not-exitless    exitless            neither exitless    both exitless
0              download         0.000005371   0.000008736   0.000009074    0.000011526  0.000019023     0.000012615         0.000040241         0.000019948
1k             download         0.000006204   0.000009852   0.000010373    0.000014635  0.000029502     0.000020310         0.000051339         0.000024512
10k            download         0.000008528   0.000011539   0.000018856    0.000022828  0.000047699     0.000038338         0.000086024         0.000064743
100k           download         0.000026330   0.000029271   0.000079751    0.000074556  0.000272624     0.000210094         0.000330212         0.000355751
#1m             download         0.000221953   0.000222339   0.000642674    0.000740736  0.002006394     0.001909114         0.002810705         0.003028686
